Company Name,Stock,Ticker,ESG Risk,ESG Rating
Abu Dhabi Commercial Bank,ADS,ADCB,Medium ESG Risk,21
Abu Dhabi Crude Oil Pipeline LLC,-,,High ESG Risk,37.8
Abu Dhabi Islamic Bank,ADS,ADIB,High ESG Risk,34.1
Abu Dhabi National Energy Co. PJSC,ADS,TAQA,Medium ESG Risk,27.1
Abu Dhabi National Hotels,ADS,ADNH,High ESG Risk,32.2
Abu Dhabi National Insurance Co. PSC,ADS,ADNIC,High ESG Risk,33.9
Abu Dhabi National Oil Co. for Distribution PJSC,ADS,ADNOCDIST,Medium ESG Risk,24.7
Abu Dhabi Ports Co. PJSC,ADS,ADPORTS,Low ESG Risk,13.4
"AC Energy, Inc.",-,,Medium ESG Risk,22.3
AcadeMedia AB,OME,ACAD,Low ESG Risk,16.2
"Academy Sports & Outdoors, Inc.",NAS,ASO,Low ESG Risk,15.5
"Acadia Healthcare Co., Inc.",NAS,ACHC,Medium ESG Risk,28.9
"ACADIA Pharmaceuticals, Inc.",NAS,ACAD,High ESG Risk,33
Acadia Realty Trust,NYS,AKR,Low ESG Risk,15
"AcBel Polytech, Inc.",TAI,6282,Low ESG Risk,20
ACC Ltd.,BOM,500410,Medium ESG Risk,29.9
"Accel Entertainment, Inc.",NYS,ACEL,Low ESG Risk,17.6
"Accelink Technologies Co., Ltd.",SHE,2281,Medium ESG Risk,21.4
Accelleron Industries AG,SWX,ACLN,High ESG Risk,32.1
Accent Group Ltd.,ASX,AX1,Low ESG Risk,16.5
Accenture Plc,NYS,ACN,Negligible ESG Risk,9.8
Accès Recherche Montréal LP,-,,High ESG Risk,34.9
Access Bank Plc,-,,High ESG Risk,37.5
Access Prairies Partnership,-,,Severe ESG Risk,45.7
Acciona SA,MCE,ANA,Low ESG Risk,17.8
ACCO Brands Corp.,NYS,ACCO,Negligible ESG Risk,7.5
"Accolade, Inc.",NAS,ACCD,Medium ESG Risk,25.4
Accor SA,PAR,AC,Medium ESG Risk,22
Accton Technology Corp.,TAI,2345,Medium ESG Risk,20.1
Ace Technologies Corp.,KRX,88800,Medium ESG Risk,25.9
Acea SpA,MIL,ACE,Medium ESG Risk,20.1
ACEN Corp.,PHS,ACEN,High ESG Risk,36.4
"Acer, Inc.",TAI,2353,Low ESG Risk,14.6
Acerinox SA,MCE,ACX,Medium ESG Risk,29.5
Achilles Corp.,TKS,5142,High ESG Risk,30.5
Achmea Bank NV,-,,Medium ESG Risk,21.6
Achmea BV,-,,Low ESG Risk,19.6
"ACI Worldwide, Inc.",NAS,ACIW,Medium ESG Risk,21.8
Ackermans & van Haaren NV,BRU,ACKB,Negligible ESG Risk,9
"Aclaris Therapeutics, Inc.",NAS,ACRS,High ESG Risk,32.7
"ACM Research (Shanghai), Inc.",SHG,688082,High ESG Risk,34.2
"ACM Research, Inc.",NAS,ACMR,High ESG Risk,32.1
ACNB Corp.,NAS,ACNB,High ESG Risk,30.6
"ACOM Co., Ltd.",TKS,8572,Medium ESG Risk,29.3
ACOMO NV,AMS,ACOMO,Low ESG Risk,13.3
Acron PJSC,MIC,AKRN,Severe ESG Risk,47
ACS Actividades de Construcción y Servicios SA,MCE,ACS,Medium ESG Risk,29.1
Acter Group Corp. Ltd.,ROCO,5536,Medium ESG Risk,28.4
Actic Group AB,OME,ATIC,High ESG Risk,31.5
Action Logement Immobilier SASU,-,,Medium ESG Risk,22.5
Active Biotech AB,OME,ACTI,High ESG Risk,32.5
"Activia Properties, Inc.",TKS,3279,Low ESG Risk,11.6
"Activision Blizzard, Inc.",NAS,ATVI,Low ESG Risk,16.1
"Actoz Soft Co., Ltd.",KRX,52790,Medium ESG Risk,20.8
"Acuity Brands Lighting, Inc.",-,,Low ESG Risk,18.3
"Acuity Brands, Inc.",NYS,AYI,Low ESG Risk,19.9
Acushnet Holdings Corp.,NYS,GOLF,Low ESG Risk,11.2
ACWA Power Co.,SAU,2082,High ESG Risk,36.9
Adairs Ltd.,ASX,ADH,Low ESG Risk,15.9
ADAMA Ltd.,SHE,553,High ESG Risk,35.9
Adani Electricity Mumbai Ltd.,-,,High ESG Risk,36.6
Adani Enterprises Ltd.,BOM,512599,High ESG Risk,38.8
Adani Green Energy Ltd.,BOM,541450,Low ESG Risk,15.3
Adani Ports & Special Economic Zone Ltd.,BOM,532921,Low ESG Risk,12.6
Adani Power Ltd.,BOM,533096,High ESG Risk,35.9
Adani Total Gas Ltd.,BOM,542066,Medium ESG Risk,23.9
Adani Transmission Ltd.,BOM,539254,High ESG Risk,31.3
Adani Wilmar Ltd.,BOM,543458,High ESG Risk,33.1
adapa Holding GmbH,-,,Low ESG Risk,12.7
AdaptHealth Corp.,NAS,AHCO,Severe ESG Risk,42
Adaptive Biotechnologies Corp.,NAS,ADPT,Low ESG Risk,18.9
"Adastria Co., Ltd.",TKS,2685,Low ESG Risk,19.7
"ADATA Technology Co., Ltd.",ROCO,3260,High ESG Risk,38.2
ADBRI Ltd.,ASX,ABC,High ESG Risk,35.9
ADC Therapeutics SA,NYS,ADCT,High ESG Risk,34.8
Adcock Ingram Holdings Ltd.,JSE,AIP,High ESG Risk,31.8
"ADDCN Technology Co., Ltd.",ROCO,5287,Medium ESG Risk,23.8
AddLife AB,OME,ALIF.B,Low ESG Risk,15.3
Addnode Group AB,OME,ANOD.B,Medium ESG Risk,26.7
"Addsino Co., Ltd.",SHE,547,Medium ESG Risk,23.6
Addtech AB,OME,ADDT.B,Medium ESG Risk,21.2
Addus HomeCare Corp.,NAS,ADUS,Low ESG Risk,19.1
Adecco Group AG,SWX,ADEN,Low ESG Risk,10.1
Adecoagro SA,NYS,AGRO,High ESG Risk,37.4
"Adeia, Inc.",NAS,ADEA,High ESG Risk,30.3
Adeka Corp.,TKS,4401,Medium ESG Risk,29.3
Adelaide Airport Ltd.,-,,Negligible ESG Risk,9.7
"ADENTRA, Inc.",TSE,ADEN,Medium ESG Risk,29.7
adesso SE,ETR,ADN1,Medium ESG Risk,21.5
Adevinta ASA,OSL,ADE,Medium ESG Risk,22.1
"Adicet Bio, Inc.",NAS,ACET,Medium ESG Risk,26.6
adidas AG,ETR,ADS,Low ESG Risk,14.9
Adient plc,NYS,ADNT,Low ESG Risk,16.1
ADIF- Alta Velocidad,-,,Negligible ESG Risk,6.3
Adimmune Corp.,TAI,4142,Medium ESG Risk,29.8
Aditya Birla Capital Ltd.,BOM,540691,Low ESG Risk,12.4
Aditya Birla Fashion & Retail Ltd.,BOM,535755,Low ESG Risk,12.3
ADLER Group SA,ETR,ADJ,Medium ESG Risk,22.8
"Adlink Technology, Inc.",TAI,6166,Low ESG Risk,19
Admie Holdings (IPTO) SA,ATH,ADMIE,High ESG Risk,31.8
Admiral Group Plc,LON,ADM,Medium ESG Risk,22.3
ADNOC Drilling Co. PJSC,ADS,ADNOCDRILL,Medium ESG Risk,22
"Adobe, Inc.",NAS,ADBE,Low ESG Risk,13.2
Adolf Würth GmbH & Co. KG,-,,Medium ESG Risk,26
ADS-TEC Energy Plc,NAS,ADSE,Medium ESG Risk,24.7
"ADT, Inc.",NYS,ADT,Medium ESG Risk,23.3
"Adtalem Global Education, Inc.",NYS,ATGE,Low ESG Risk,11.4
"ADTRAN Holdings, Inc.",NAS,ADTN,Low ESG Risk,19
"ADVAN GROUP CO., LTD",TKS,7463,Medium ESG Risk,26.8
"Advance Auto Parts, Inc.",NYS,AAP,Low ESG Risk,11.5
Advance Logistics Investment Corp.,TKS,3493,Low ESG Risk,14.6
Advance Residence Investment Corp.,TKS,3269,Low ESG Risk,14.4
Advanced Ceramic X Corp.,ROCO,3152,Low ESG Risk,17.4
"Advanced Drainage Systems, Inc.",NYS,WMS,Medium ESG Risk,28.6
"Advanced Energy Industries, Inc.",NAS,AEIS,Low ESG Risk,17.5
"Advanced Energy Solution Holding Co., Ltd.",TAI,6781,Medium ESG Risk,25.3
Advanced Enzyme Technologies Ltd.,BOM,540025,High ESG Risk,34
"Advanced Info Service Public Co., Ltd.",BKK,ADVANC,Medium ESG Risk,21.5
Advanced International Multitech Co. Ltd.,ROCO,8938,Low ESG Risk,11.1
Advanced Medical Solutions Group Plc,LON,AMS,Low ESG Risk,13.2
"Advanced Micro Devices, Inc.",NAS,AMD,Low ESG Risk,15.8
"Advanced Micro Fabrication Equipment, Inc. China",SHG,688012,Medium ESG Risk,24.3
"Advanced Nano Products Co., Ltd.",KRX,121600,High ESG Risk,36.6
Advanced Petrochemical Co.,SAU,2330,High ESG Risk,31.6
Advanced Process Systems Corp.,KRX,265520,Medium ESG Risk,29.1
"Advanced Technology & Materials Co., Ltd.",SHE,969,Severe ESG Risk,53
Advanced Wireless Semiconductor Co.,ROCO,8086,Medium ESG Risk,20.6
"Advansix, Inc.",NYS,ASIX,Medium ESG Risk,23.6
Advantage Energy Ltd.,TSE,AAV,Severe ESG Risk,50.5
"Advantage Solutions, Inc. (California)",NAS,ADV,Low ESG Risk,18.4
"Advantech Co., Ltd.",TAI,2395,Low ESG Risk,19.7
Advantest Corp.,TKS,6857,Low ESG Risk,16.5
"Adventure, Inc.",TKS,6030,High ESG Risk,33.7
ADvTECH Ltd.,JSE,ADH,Low ESG Risk,19
Adyen NV,AMS,ADYEN,Low ESG Risk,16.2
"AECC Aero-engine Control Co., Ltd.",SHE,738,Severe ESG Risk,42.3
"AECC Aviation Power Co., Ltd.",SHG,600893,Severe ESG Risk,50.3
AECI Ltd.,JSE,AFE,Medium ESG Risk,23.3
AECOM,NYS,ACM,High ESG Risk,30.2
"Aecon Group, Inc.",TSE,ARE,High ESG Risk,32.1
AEDAS Homes SA,MCE,AEDAS,Low ESG Risk,13.2
Aedifica SA,BRU,AED,Low ESG Risk,11.1
Aegea Saneamento e Participaçoes SA,-,,Low ESG Risk,16.3
Aegean Airlines SA,ATH,AEGN,Medium ESG Risk,29
Aegis Logistics Ltd.,BOM,500003,High ESG Risk,38.6
Aegon NV,AMS,AGN,Low ESG Risk,13.2
Aehr Test Systems,NAS,AEHR,Medium ESG Risk,22.2
"Aekyung Industrial Co., Ltd.",KRX,18250,High ESG Risk,34.7
AEM Holdings Ltd.,SES,AWX,Low ESG Risk,16.9
"Aemetis, Inc.",NAS,AMTX,Severe ESG Risk,52.2
Aena S.M.E. SA,MCE,AENA,Negligible ESG Risk,8.8
AEON Co. (Malaysia) Bhd.,KLS,6599,Low ESG Risk,17.2
"AEON Co., Ltd.",TKS,8267,Medium ESG Risk,20.4
AEON Credit Service (M) Bhd.,KLS,5139,Medium ESG Risk,23.6
"AEON DELIGHT CO., LTD.",TKS,9787,Medium ESG Risk,25.3
"AEON Fantasy Co., Ltd.",TKS,4343,High ESG Risk,34.6
"AEON Financial Service Co., Ltd.",TKS,8570,High ESG Risk,31.6
AEON Hokkaido Corp.,TKS,7512,Medium ESG Risk,20.5
"AEON Mall Co., Ltd.",TKS,8905,Medium ESG Risk,22
AEON REIT Investment Corp.,TKS,3292,Low ESG Risk,18.5
AEON Thana Sinsap (Thailand) Public Co. Ltd.,BKK,AEONTS,Medium ESG Risk,24.2
"AEP Texas, Inc.",-,,Medium ESG Risk,29.5
AEP Transmission Co. LLC,-,,Severe ESG Risk,44.6
AerCap Holdings NV,NYS,AER,Medium ESG Risk,20
"Aerie Pharmaceuticals, Inc.",-,,High ESG Risk,32.4
Aeris Indústria e Comércio de Equipamentos para Geração,BSP,AERI3,Medium ESG Risk,24.5
"Aerojet Rocketdyne Holdings, Inc.",NYS,AJRD,Severe ESG Risk,41.1
Aeroporti di Roma SpA,-,,Low ESG Risk,13.8
Aéroports de Montréal,-,,Medium ESG Risk,21.8
Aéroports de Paris ADP,PAR,ADP,Low ESG Risk,16.9
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,-,,Medium ESG Risk,22.6
Aeropuertos Dominicanos Siglo XXI SA,-,,Medium ESG Risk,24.1
"Aerospace Hi-Tech Holding Group Co., Ltd.",SHE,901,Medium ESG Risk,27
Aerospace Industrial Development Corp.,TAI,2634,High ESG Risk,31
"Aerovate Therapeutics, Inc.",NAS,AVTE,High ESG Risk,34.4
"AeroVironment, Inc.",NAS,AVAV,Medium ESG Risk,29.7
AerSale Corp.,NAS,ASLE,Medium ESG Risk,27.7
AES Andes SA,SGO,AESANDES,Severe ESG Risk,43
AES Argentina Generación SA,-,,Low ESG Risk,19
AES Brasil Energia SA,BSP,AESB3,Negligible ESG Risk,9.4
"Aeva Technologies, Inc.",NYS,AEVA,High ESG Risk,37.2
AEW UK REIT Plc,LON,AEWU,Low ESG Risk,16.5
"AEye, Inc.",NAS,LIDR,Medium ESG Risk,24.5
AF Gruppen ASA,OSL,AFG,High ESG Risk,33.8
"AFC Gamma, Inc.",NAS,AFCG,Medium ESG Risk,29.8
"Affiliated Managers Group, Inc.",NYS,AMG,Medium ESG Risk,21.5
Affimed NV,NAS,AFMD,Medium ESG Risk,29.6
Affin Bank Bhd.,KLS,5185,Medium ESG Risk,25.4
Affinity Water Ltd.,-,,Medium ESG Risk,27
"Affirm Holdings, Inc.",NAS,AFRM,Medium ESG Risk,27.4
Affle (India) Ltd.,BOM,542752,Medium ESG Risk,20.5
Affordable Housing Finance Plc,-,,Medium ESG Risk,29.6
AFI Properties Ltd.,TAE,AFPR,Medium ESG Risk,24.4
"Aflac, Inc.",NYS,AFL,Low ESG Risk,18.1
"AfreecaTV Co., Ltd.",KRX,67160,Medium ESG Risk,22.6
Africa Finance Corp.,-,,Low ESG Risk,14.5
Africa Israel Residences Ltd.,TAE,AFRE,Medium ESG Risk,24.5
Africa Oil Corp.,TSE,AOI,Severe ESG Risk,42.7
African Export-Import Bank,MAU,AEIB.N0004,High ESG Risk,39.4
African Rainbow Minerals Ltd.,JSE,ARI,High ESG Risk,30.3
AFRY AB,OME,AFRY,Medium ESG Risk,22.7
AG Anadolu Grubu Holding AS,IST,AGHOL.E,High ESG Risk,31.5
"Ag Growth International, Inc.",TSE,AFN,Medium ESG Risk,23.4
"AGC, Inc. (Japan)",TKS,5201,Medium ESG Risk,22.1
AGCO Corp.,NYS,AGCO,Low ESG Risk,17.9
ageas SA/NV,BRU,AGS,Medium ESG Risk,21.4
Agence Française de Développement,-,,Low ESG Risk,10.8
Agence France Locale Société anonyme,-,,Low ESG Risk,18.3
"Agenus, Inc.",NAS,AGEN,Medium ESG Risk,29.1
Agfa-Gevaert NV,BRU,AGFB,Low ESG Risk,15.6
AGI Finance Pty Ltd.,-,,Severe ESG Risk,54.3
Agile Group Holdings Ltd.,HKG,3383,Low ESG Risk,17.7
"Agilent Technologies, Inc.",NYS,A,Low ESG Risk,15.4
"Agiliti, Inc. (Minnesota)",NYS,AGTI,Medium ESG Risk,21.2
Agility Public Warehousing Co. KSC,KUW,AGLTY,Medium ESG Risk,21.1
"Agilon Health, Inc.",NYS,AGL,Medium ESG Risk,26
"Agilysys, Inc.",NAS,AGYS,Low ESG Risk,13.2
"Agios Pharmaceuticals, Inc.",NAS,AGIO,Medium ESG Risk,23.7
AGL Energy Ltd.,ASX,AGL,High ESG Risk,35.6
AGNC Investment Corp.,NAS,AGNC,Low ESG Risk,16.1
Agnico Eagle Mines Ltd.,TSE,AEM,Medium ESG Risk,22.5
"Agora, Inc. (China)",NAS,API,Medium ESG Risk,25.9
AGRANA Beteiligungs-AG,WBO,AGR,High ESG Risk,34.6
Agree Realty Corp.,NYS,ADC,Low ESG Risk,15.2
Agricultural Bank of China (London Branch),-,,Medium ESG Risk,26.1
Agricultural Bank of China Ltd.,HKG,1288,Medium ESG Risk,29.7
Agricultural Bank of China Ltd. (Singapore Branch),-,,Severe ESG Risk,41.5
Agritrade Resources Ltd.,-,,Severe ESG Risk,49.8
Agrosuper SA,-,,High ESG Risk,34.1
Agthia Group PJSC,ADS,AGTHIA,High ESG Risk,37.6
Agua y Saneamientos Argentinos SA,-,,High ESG Risk,37.1
Aguas Andinas SA,SGO,AGUAS.A,Medium ESG Risk,22.9
AGV Products Corp.,TAI,1217,High ESG Risk,33
Ahli Bank QPSC,DSMD,ABQK,Severe ESG Risk,43.8
Ahli United Bank,KUW,ALMUTAHED,Medium ESG Risk,26.5
"Ahnlab, Inc.",KRX,53800,Medium ESG Risk,26
Ai Holdings Corp.,TKS,3076,Low ESG Risk,17
AIA Engineering Ltd.,BOM,532683,Medium ESG Risk,23.9
AIA Group Ltd.,HKG,1299,Low ESG Risk,13.3
AIB Group plc,DUB,A5G,Low ESG Risk,12.7
Aibel ASA,-,,Low ESG Risk,14.6
"Aica Kogyo Co., Ltd.",TKS,4206,Medium ESG Risk,25.6
Aichi Corp.,TKS,6345,Medium ESG Risk,29.4
"Aichi Financial Group, Inc.",TKS,7389,High ESG Risk,34.2
Aichi Steel Corp.,TKS,5482,High ESG Risk,34.7
Aida Engineering Ltd.,TKS,6118,High ESG Risk,31.2
"Aier Eye Hospital Group Co., Ltd.",SHE,300015,High ESG Risk,30
AIFUL Corp.,TKS,8515,Medium ESG Risk,29.2
"AIMA Technology Group Co., Ltd.",SHG,603529,Low ESG Risk,15.1
AIMCo Realty Investors LP,-,,Medium ESG Risk,28.5
AIMS APAC REIT,SES,O5RU,Low ESG Risk,12.4
"Ain Holdings, Inc.",TKS,9627,Low ESG Risk,16.9
"Aiphone Co., Ltd.",TKS,6718,Medium ESG Risk,23.7
Air Arabia PJSC,DFM,AIRARABIA,High ESG Risk,35.4
Air Canada,TSE,AC,Medium ESG Risk,25.7
Air China Ltd.,HKG,753,Medium ESG Risk,27.3
Air France-KLM SA,PAR,AF,High ESG Risk,30.2
Air Lease Corp.,NYS,AL,Medium ESG Risk,20.4
Air Liquide SA,PAR,AI,Low ESG Risk,12.8
Air New Zealand Ltd.,NZE,AIR,Medium ESG Risk,28.7
"Air Products & Chemicals, Inc.",NYS,APD,Low ESG Risk,12.3
"Air Transport Services Group, Inc.",NAS,ATSG,Medium ESG Risk,23.7
"Air Water, Inc.",TKS,4088,Medium ESG Risk,22.2
"Airbnb, Inc.",NAS,ABNB,Medium ESG Risk,22.9
AirBoss of America Corp.,TSE,BOS,High ESG Risk,30.1
Airbus SE,PAR,AIR,Medium ESG Risk,25.8
Aircastle Ltd.,-,,Medium ESG Risk,25.1
Airport Authority Hong Kong,-,,Low ESG Risk,10.8
Airport City Ltd.,TAE,ARPT,Medium ESG Risk,24.1
"Airport Facilities Co., Ltd.",TKS,8864,Medium ESG Risk,23.5
Airports of Thailand Public Co. Ltd.,BKK,AOT,Low ESG Risk,17
"AirSculpt Technologies, Inc.",NAS,AIRS,High ESG Risk,31.2
Airtac International Group,TAI,1590,High ESG Risk,34.1
Airtel Africa Plc,LON,AAF,Medium ESG Risk,23.5
AirTrip Corp.,TKS,6191,Medium ESG Risk,28.8
"Aisan Industry Co., Ltd.",TKS,7283,Medium ESG Risk,25.3
Aisin Corp.,TKS,7259,Medium ESG Risk,26.4
AIXTRON SE,ETR,AIXA,Low ESG Risk,19.6
AJ Bell Plc,LON,AJB,Medium ESG Risk,24.9
Ajanta Pharma Ltd.,BOM,532331,High ESG Risk,32.3
"Ajinomoto Co., Inc.",TKS,2802,Medium ESG Risk,25.9
AK Medical Holdings Ltd.,HKG,1789,Medium ESG Risk,29.3
"Akamai Technologies, Inc.",NAS,AKAM,Low ESG Risk,16.6
"Akatsuki, Inc.",TKS,3932,Medium ESG Risk,24.1
Akbank TAS,IST,AKBNK.E,Low ESG Risk,16.1
Akcansa Cimento Sanayi ve Ticaret AS,IST,AKCNS.E,High ESG Risk,30
"Akebono Brake Industry Co., Ltd.",TKS,7238,Medium ESG Risk,25.5
Akelius Residential Property AB,OME,AKEL.D,Low ESG Risk,16.7
Aker ASA,OSL,AKER,Low ESG Risk,11.7
Aker BP ASA,OSL,AKRBP,High ESG Risk,34.5
Aker Carbon Capture AS,OSL,ACC,Medium ESG Risk,21.5
Aker Horizons ASA,OSL,AKH,Medium ESG Risk,21.7
Aker Solutions ASA,OSL,AKSO,Medium ESG Risk,24.5
"Akero Therapeutics, Inc.",NAS,AKRO,High ESG Risk,31.7
"Akeso, Inc.",HKG,9926,High ESG Risk,35.2
Akira Holding Foundation,-,,High ESG Risk,35.4
"Akoustis Technologies, Inc.",NAS,AKTS,Medium ESG Risk,23.7
"Akoya Biosciences, Inc.",NAS,AKYA,High ESG Risk,31.8
Aksa Akrilik Kimya Sanayii AS,IST,AKSA.E,Low ESG Risk,12.8
Aksa Enerji Üretim AS,IST,AKSEN.E,High ESG Risk,37.1
Aksigorta AS,IST,AKGRT.E,Medium ESG Risk,28.8
Aktia Bank Plc,HEL,AKTIA,Low ESG Risk,18.4
"Akumin, Inc.",TSE,AKU,Medium ESG Risk,26.5
AKWEL SA,PAR,AKW,Low ESG Risk,11.4
Akzo Nobel India Ltd.,BOM,500710,High ESG Risk,31.2
Akzo Nobel NV,AMS,AKZA,Low ESG Risk,17.8
Al Ahli Bank of Kuwait KSC,KUW,ABK,High ESG Risk,32.2
Al Hammadi Holding,SAU,4007,High ESG Risk,33.2
Al Jouf Cement Co.,SAU,3091,Severe ESG Risk,43.4
Al Moammar Information Systems Co.,SAU,7200,Medium ESG Risk,28.4
Al Rajhi Bank,SAU,1120,Medium ESG Risk,25.5
Al Rajhi Co. for Cooperative Insurance,SAU,8230,High ESG Risk,35.4
Al Yah Satellite Communications Co. PJSC,ADS,YAHSAT,Medium ESG Risk,29.4
Al-Jouf Agricultural Development Co.,SAU,6070,Severe ESG Risk,43.5
Alabama Power Co.,-,,Severe ESG Risk,44.6
ALAFCO Aviation Lease & Finance Co.,KUW,ALAFCO,High ESG Risk,30.8
"Alamo Group, Inc.",NYS,ALG,Medium ESG Risk,22.3
"Alamos Gold, Inc.",TSE,AGI,Medium ESG Risk,29.9
Alarko Holding AS,IST,ALARK.E,High ESG Risk,37
"Alarm.com Holdings, Inc.",NAS,ALRM,Medium ESG Risk,24.4
"Alaska Air Group, Inc.",NYS,ALK,Medium ESG Risk,26.2
